====================================================================================================================================================
(cm^-1)  1000K         1500K        2250K        3000K        4000K        5000K        6000K        7000K        8000K        9000K        10000K
====================================================================================================================================================
   50 1.685943e-07 1.576400e-07 1.418160e-07 1.306910e-07 1.197810e-07 1.114620e-07 1.047700e-07 9.918990e-08 9.441580e-08 9.025100e-08 8.656230e-08
  100 6.520477e-07 6.128950e-07 5.561430e-07 5.148210e-07 4.734880e-07 4.415540e-07 4.156530e-07 3.939360e-07 3.752800e-07 3.589560e-07 3.444630e-07
  200 2.299750e-06 2.204270e-06 2.063310e-06 1.941850e-06 1.809350e-06 1.701090e-06 1.610280e-06 1.532390e-06 1.464390e-06 1.404160e-06 1.350160e-06
  300 4.286142e-06 4.229980e-06 4.137570e-06 3.988960e-06 3.789520e-06 3.606870e-06 3.443600e-06 3.297750e-06 3.166730e-06 3.048210e-06 2.940230e-06
  400 6.021699e-06 6.167230e-06 6.353750e-06 6.307430e-06 6.137050e-06 5.931910e-06 5.724990e-06 5.526800e-06 5.340400e-06 5.166180e-06 5.003530e-06
  500 7.173629e-06 7.677460e-06 8.369350e-06 8.583670e-06 8.580890e-06 8.441970e-06 8.250290e-06 8.039890e-06 7.825880e-06 7.615270e-06 7.411300e-06
  600 7.658369e-06 8.621610e-06 9.969910e-06 1.058590e-05 1.089640e-05 1.092910e-05 1.082950e-05 1.066400e-05 1.046530e-05 1.025100e-05 1.003090e-05
  700 7.555314e-06 9.006750e-06 1.106130e-05 1.217420e-05 1.292180e-05 1.322880e-05 1.330350e-05 1.324790e-05 1.311660e-05 1.294050e-05 1.273810e-05
  800 7.018358e-06 8.922130e-06 1.164040e-05 1.328950e-05 1.455890e-05 1.522600e-05 1.555070e-05 1.566980e-05 1.566020e-05 1.556790e-05 1.542150e-05
  900 6.213946e-06 8.489020e-06 1.176220e-05 1.393420e-05 1.576500e-05 1.685210e-05 1.748880e-05 1.784000e-05 1.800360e-05 1.804040e-05 1.798960e-05
 1000 5.286606e-06 7.828480e-06 1.151140e-05 1.415050e-05 1.653900e-05 1.807710e-05 1.906910e-05 1.969840e-05 2.007960e-05 2.028660e-05 2.036890e-05
 1100 4.344273e-06 7.043200e-06 1.098040e-05 1.400380e-05 1.691040e-05 1.890310e-05 2.027390e-05 2.121340e-05 2.184710e-05 2.225910e-05 2.250780e-05
 1200 3.458373e-06 6.213120e-06 1.025840e-05 1.356770e-05 1.692620e-05 1.935270e-05 2.110640e-05 2.237310e-05 2.328280e-05 2.392630e-05 2.436850e-05
 1300 2.670498e-06 5.393990e-06 9.419780e-06 1.291510e-05 1.664280e-05 1.946350e-05 2.158730e-05 2.318470e-05 2.438320e-05 2.527610e-05 2.593240e-05
 1400 1.998584e-06 4.622730e-06 8.527260e-06 1.211410e-05 1.612090e-05 1.928310e-05 2.175060e-05 2.366960e-05 2.515890e-05 2.631010e-05 2.719360e-05
 1500 1.444463e-06 3.920290e-06 7.628270e-06 1.122170e-05 1.541680e-05 1.885920e-05 2.163370e-05 2.385500e-05 2.562780e-05 2.703830e-05 2.815550e-05
 1600 1.001005e-06 3.295800e-06 6.755370e-06 1.028510e-05 1.458220e-05 1.824040e-05 2.127790e-05 2.377420e-05 2.581550e-05 2.747910e-05 2.883000e-05
