        697    18       17     1.5967e-03 6.31369e-03
  0.93788E+03 0.00000E+00 0.92560E-05 0.23527E-01 0.27234E-03 0.00000E+00
  0.93849E+03 0.00000E+00 0.86335E-05 0.25747E-01 0.29164E-03 0.00000E+00
  0.93911E+03 0.00000E+00 0.80495E-05 0.28177E-01 0.31255E-03 0.00000E+00
  0.93973E+03 0.00000E+00 0.75014E-05 0.30835E-01 0.33524E-03 0.00000E+00
  0.94035E+03 0.00000E+00 0.69885E-05 0.33745E-01 0.35985E-03 0.00000E+00
  0.94096E+03 0.00000E+00 0.65081E-05 0.36929E-01 0.38655E-03 0.72878E-04
  0.94159E+03 0.00000E+00 0.60587E-05 0.40413E-01 0.41552E-03 0.79669E-04
  0.94221E+03 0.00000E+00 0.56386E-05 0.44226E-01 0.44697E-03 0.87083E-04
  0.94283E+03 0.00000E+00 0.52461E-05 0.48399E-01 0.48112E-03 0.95176E-04
  0.94345E+03 0.00000E+00 0.48795E-05 0.52965E-01 0.51820E-03 0.10401E-03
  0.94407E+03 0.00000E+00 0.45374E-05 0.57961E-01 0.55848E-03 0.11364E-03
  0.94470E+03 0.00000E+00 0.42182E-05 0.63429E-01 0.60223E-03 0.12415E-03
  0.94532E+03 0.00000E+00 0.39206E-05 0.69411E-01 0.64977E-03 0.13562E-03
  0.94595E+03 0.00000E+00 0.36430E-05 0.75962E-01 0.70142E-03 0.14812E-03
  0.94658E+03 0.00000E+00 0.33844E-05 0.83127E-01 0.75752E-03 0.16173E-03
  0.94720E+03 0.00000E+00 0.31435E-05 0.90970E-01 0.81848E-03 0.17657E-03
  0.94783E+03 0.00000E+00 0.29190E-05 0.99557E-01 0.88466E-03 0.19271E-03
  0.94846E+03 0.00000E+00 0.27101E-05 0.10895E+00 0.95625E-03 0.21024E-03
  0.94909E+03 0.00000E+00 0.25155E-05 0.11923E+00 0.10337E-02 0.22917E-03
  0.94972E+03 0.00000E+00 0.23345E-05 0.13052E+00 0.11177E-02 0.24943E-03
  0.95035E+03 0.00000E+00 0.21661E-05 0.14056E+00 0.12104E-02 0.27117E-03
  0.95099E+03 0.74649E-07 0.20094E-05 0.15251E+00 0.13129E-02 0.29515E-03
  0.95162E+03 0.00000E+00 0.18636E-05 0.16758E+00 0.14259E-02 0.32219E-03
  0.95225E+03 0.00000E+00 0.17281E-05 0.18448E+00 0.15513E-02 0.35259E-03
  0.95289E+03 0.00000E+00 0.16021E-05 0.20344E+00 0.16908E-02 0.38649E-03
  0.95353E+03 0.00000E+00 0.14851E-05 0.22471E+00 0.18454E-02 0.42412E-03
  0.95416E+03 0.00000E+00 0.13762E-05 0.24853E+00 0.20164E-02 0.46579E-03
  0.95480E+03 0.00000E+00 0.12750E-05 0.27515E+00 0.22052E-02 0.51185E-03
  0.95544E+03 0.00000E+00 0.11811E-05 0.30484E+00 0.24132E-02 0.56267E-03
  0.95608E+03 0.00000E+00 0.10938E-05 0.33790E+00 0.26419E-02 0.61864E-03
  0.95672E+03 0.00000E+00 0.10128E-05 0.37462E+00 0.28928E-02 0.68014E-03
  0.95736E+03 0.00000E+00 0.93751E-06 0.41528E+00 0.31674E-02 0.74755E-03
  0.95800E+03 0.00000E+00 0.86761E-06 0.46014E+00 0.34669E-02 0.82123E-03
  0.95864E+03 0.00000E+00 0.80279E-06 0.50949E+00 0.37927E-02 0.90154E-03
  0.95929E+03 0.84542E-07 0.74256E-06 0.56360E+00 0.41461E-02 0.98878E-03
  0.95993E+03 0.84934E-07 0.68674E-06 0.62270E+00 0.45279E-02 0.10832E-02
  0.96058E+03 0.00000E+00 0.63491E-06 0.68694E+00 0.49391E-02 0.11851E-02
  0.96123E+03 0.00000E+00 0.58684E-06 0.75650E+00 0.53802E-02 0.12946E-02
  0.96187E+03 0.00000E+00 0.54227E-06 0.83148E+00 0.58515E-02 0.14118E-02
  0.96252E+03 0.00000E+00 0.50093E-06 0.91193E+00 0.63528E-02 0.15366E-02
  0.96317E+03 0.00000E+00 0.46260E-06 0.99793E+00 0.68836E-02 0.16690E-02
  0.96382E+03 0.00000E+00 0.42707E-06 0.10892E+01 0.74432E-02 0.18089E-02
  0.96447E+03 0.00000E+00 0.39413E-06 0.11857E+01 0.80306E-02 0.19558E-02
  0.96512E+03 0.00000E+00 0.36361E-06 0.12871E+01 0.86436E-02 0.21093E-02
  0.96577E+03 0.00000E+00 0.33532E-06 0.13932E+01 0.92797E-02 0.22689E-02
  0.96643E+03 0.00000E+00 0.30912E-06 0.15033E+01 0.99360E-02 0.24339E-02
  0.96708E+03 0.00000E+00 0.28484E-06 0.16171E+01 0.10610E-01 0.26033E-02
  0.96774E+03 0.90746E-07 0.26235E-06 0.17337E+01 0.11297E-01 0.27763E-02
  0.96839E+03 0.10168E-06 0.24153E-06 0.18523E+01 0.11994E-01 0.29517E-02
  0.96905E+03 0.90949E-07 0.22223E-06 0.19724E+01 0.12693E-01 0.31281E-02
  0.96971E+03 0.00000E+00 0.20438E-06 0.20927E+01 0.13392E-01 0.33043E-02
  0.97037E+03 0.00000E+00 0.18784E-06 0.22123E+01 0.14085E-01 0.34788E-02
  0.97103E+03 0.00000E+00 0.17253E-06 0.23299E+01 0.14763E-01 0.36499E-02
  0.97169E+03 0.00000E+00 0.15836E-06 0.24446E+01 0.15424E-01 0.38161E-02
  0.97235E+03 0.00000E+00 0.14524E-06 0.25552E+01 0.16058E-01 0.39757E-02
  0.97301E+03 0.00000E+00 0.13311E-06 0.26602E+01 0.16661E-01 0.41269E-02
  0.97367E+03 0.00000E+00 0.12188E-06 0.27586E+01 0.17225E-01 0.42682E-02
  0.97434E+03 0.00000E+00 0.11149E-06 0.28491E+01 0.17745E-01 0.43979E-02
  0.97500E+03 0.00000E+00 0.10188E-06 0.29307E+01 0.18216E-01 0.45145E-02
  0.97567E+03 0.00000E+00 0.92979E-07 0.30023E+01 0.18632E-01 0.46166E-02
  0.97633E+03 0.91525E-07 0.84758E-07 0.30629E+01 0.18989E-01 0.47031E-02
  0.97700E+03 0.11580E-06 0.77146E-07 0.31119E+01 0.19283E-01 0.47730E-02
  0.97767E+03 0.11567E-06 0.70115E-07 0.31486E+01 0.19511E-01 0.48255E-02
  0.97834E+03 0.90591E-07 0.00000E+00 0.31727E+01 0.19673E-01 0.48602E-02
  0.97901E+03 0.00000E+00 0.00000E+00 0.31839E+01 0.19767E-01 0.48769E-02
  0.97968E+03 0.00000E+00 0.00000E+00 0.31825E+01 0.19794E-01 0.48760E-02
  0.98035E+03 0.00000E+00 0.00000E+00 0.31686E+01 0.19756E-01 0.48578E-02
  0.98103E+03 0.00000E+00 0.00000E+00 0.31431E+01 0.19657E-01 0.48233E-02
  0.98170E+03 0.00000E+00 0.00000E+00 0.31065E+01 0.19501E-01 0.47738E-02
  0.98238E+03 0.00000E+00 0.00000E+00 0.30600E+01 0.19293E-01 0.47107E-02
  0.98305E+03 0.00000E+00 0.00000E+00 0.30050E+01 0.19040E-01 0.46360E-02
  0.98373E+03 0.00000E+00 0.00000E+00 0.29431E+01 0.18751E-01 0.45518E-02
  0.98441E+03 0.00000E+00 0.00000E+00 0.28758E+01 0.18433E-01 0.44605E-02
  0.98509E+03 0.84948E-07 0.00000E+00 0.28051E+01 0.18095E-01 0.43645E-02
  0.98577E+03 0.12533E-06 0.00000E+00 0.27329E+01 0.17748E-01 0.42665E-02
  0.98645E+03 0.13961E-06 0.00000E+00 0.26612E+01 0.17400E-01 0.41692E-02
  0.98713E+03 0.12414E-06 0.00000E+00 0.25918E+01 0.17061E-01 0.40751E-02
  0.98781E+03 0.81463E-07 0.00000E+00 0.25266E+01 0.16738E-01 0.39867E-02
  0.98849E+03 0.00000E+00 0.00000E+00 0.24673E+01 0.16441E-01 0.39063E-02
  0.98918E+03 0.00000E+00 0.00000E+00 0.24153E+01 0.16176E-01 0.38356E-02
  0.98986E+03 0.00000E+00 0.00000E+00 0.23719E+01 0.15949E-01 0.37764E-02
  0.99055E+03 0.00000E+00 0.00000E+00 0.23379E+01 0.15763E-01 0.37297E-02
  0.99124E+03 0.00000E+00 0.00000E+00 0.23139E+01 0.15622E-01 0.36961E-02
  0.99193E+03 0.00000E+00 0.00000E+00 0.22999E+01 0.15526E-01 0.36760E-02
  0.99262E+03 0.00000E+00 0.00000E+00 0.22958E+01 0.15473E-01 0.36688E-02
  0.99331E+03 0.00000E+00 0.00000E+00 0.23008E+01 0.15461E-01 0.36737E-02
  0.99400E+03 0.68904E-07 0.00000E+00 0.23142E+01 0.15485E-01 0.36892E-02
  0.99469E+03 0.12787E-06 0.00000E+00 0.23342E+01 0.15540E-01 0.37137E-02
  0.99538E+03 0.16071E-06 0.00000E+00 0.23594E+01 0.15617E-01 0.37447E-02
  0.99608E+03 0.15968E-06 0.00000E+00 0.23877E+01 0.15710E-01 0.37800E-02
  0.99677E+03 0.12413E-06 0.00000E+00 0.24174E+01 0.15808E-01 0.38166E-02
  0.99747E+03 0.00000E+00 0.00000E+00 0.24460E+01 0.15903E-01 0.38521E-02
  0.99816E+03 0.00000E+00 0.00000E+00 0.24716E+01 0.15986E-01 0.38835E-02
  0.99886E+03 0.00000E+00 0.00000E+00 0.24923E+01 0.16048E-01 0.39086E-02
  0.99956E+03 0.00000E+00 0.00000E+00 0.25063E+01 0.16084E-01 0.39250E-02
  0.10003E+04 0.00000E+00 0.00000E+00 0.25122E+01 0.16088E-01 0.39311E-02
  0.10010E+04 0.00000E+00 0.00000E+00 0.25092E+01 0.16054E-01 0.39257E-02
  0.10017E+04 0.00000E+00 0.00000E+00 0.24965E+01 0.15983E-01 0.39082E-02
  0.10024E+04 0.00000E+00 0.00000E+00 0.24743E+01 0.15874E-01 0.38786E-02
  0.10031E+04 0.00000E+00 0.00000E+00 0.24430E+01 0.15731E-01 0.38378E-02
  0.10038E+04 0.12060E-06 0.00000E+00 0.24038E+01 0.15558E-01 0.37873E-02
  0.10045E+04 0.17627E-06 0.00000E+00 0.23583E+01 0.15363E-01 0.37292E-02
  0.10052E+04 0.19532E-06 0.00000E+00 0.23084E+01 0.15154E-01 0.36661E-02
  0.10059E+04 0.17267E-06 0.00000E+00 0.22567E+01 0.14942E-01 0.36012E-02
  0.10066E+04 0.11212E-06 0.00000E+00 0.22056E+01 0.14738E-01 0.35380E-02
  0.10073E+04 0.00000E+00 0.00000E+00 0.21580E+01 0.14554E-01 0.34799E-02
  0.10080E+04 0.00000E+00 0.00000E+00 0.21166E+01 0.14402E-01 0.34306E-02
  0.10087E+04 0.00000E+00 0.00000E+00 0.20840E+01 0.14290E-01 0.33933E-02
  0.10094E+04 0.00000E+00 0.00000E+00 0.20626E+01 0.14230E-01 0.33708E-02
  0.10102E+04 0.00000E+00 0.00000E+00 0.20540E+01 0.14228E-01 0.33655E-02
  0.10109E+04 0.00000E+00 0.00000E+00 0.20596E+01 0.14289E-01 0.33789E-02
  0.10116E+04 0.00000E+00 0.00000E+00 0.20801E+01 0.14415E-01 0.34118E-02
  0.10123E+04 0.00000E+00 0.00000E+00 0.21153E+01 0.14604E-01 0.34639E-02
  0.10130E+04 0.10012E-06 0.00000E+00 0.21645E+01 0.14854E-01 0.35341E-02
  0.10137E+04 0.18293E-06 0.00000E+00 0.22261E+01 0.15158E-01 0.36204E-02
  0.10145E+04 0.22847E-06 0.00000E+00 0.22978E+01 0.15506E-01 0.37200E-02
  0.10152E+04 0.22588E-06 0.00000E+00 0.23772E+01 0.15887E-01 0.38295E-02
  0.10159E+04 0.17443E-06 0.00000E+00 0.24611E+01 0.16288E-01 0.39448E-02
  0.10166E+04 0.83872E-07 0.00000E+00 0.25463E+01 0.16696E-01 0.40617E-02
  0.10174E+04 0.00000E+00 0.00000E+00 0.26292E+01 0.17098E-01 0.41760E-02
  0.10181E+04 0.00000E+00 0.00000E+00 0.27068E+01 0.17481E-01 0.42838E-02
  0.10188E+04 0.00000E+00 0.00000E+00 0.27763E+01 0.17835E-01 0.43813E-02
  0.10195E+04 0.00000E+00 0.00000E+00 0.28353E+01 0.18149E-01 0.44659E-02
  0.10203E+04 0.00000E+00 0.00000E+00 0.28824E+01 0.18420E-01 0.45356E-02
  0.10210E+04 0.00000E+00 0.00000E+00 0.29167E+01 0.18644E-01 0.45896E-02
  0.10217E+04 0.00000E+00 0.00000E+00 0.29384E+01 0.18822E-01 0.46281E-02
  0.10225E+04 0.00000E+00 0.00000E+00 0.29487E+01 0.18958E-01 0.46524E-02
  0.10232E+04 0.17661E-06 0.00000E+00 0.29494E+01 0.19061E-01 0.46651E-02
  0.10239E+04 0.25578E-06 0.00000E+00 0.29432E+01 0.19139E-01 0.46693E-02
  0.10247E+04 0.28204E-06 0.00000E+00 0.29331E+01 0.19207E-01 0.46692E-02
  0.10254E+04 0.24823E-06 0.00000E+00 0.29228E+01 0.19277E-01 0.46689E-02
  0.10261E+04 0.15994E-06 0.00000E+00 0.29159E+01 0.19361E-01 0.46732E-02
  0.10269E+04 0.00000E+00 0.00000E+00 0.29158E+01 0.19474E-01 0.46863E-02
  0.10276E+04 0.00000E+00 0.00000E+00 0.29257E+01 0.19626E-01 0.47118E-02
  0.10283E+04 0.00000E+00 0.00000E+00 0.29479E+01 0.19826E-01 0.47527E-02
  0.10291E+04 0.00000E+00 0.00000E+00 0.29839E+01 0.20078E-01 0.48109E-02
  0.10298E+04 0.00000E+00 0.00000E+00 0.30345E+01 0.20384E-01 0.48868E-02
  0.10306E+04 0.00000E+00 0.00000E+00 0.30990E+01 0.20740E-01 0.49799E-02
  0.10313E+04 0.00000E+00 0.00000E+00 0.31758E+01 0.21139E-01 0.50879E-02
  0.10321E+04 0.00000E+00 0.00000E+00 0.32624E+01 0.21573E-01 0.52076E-02
  0.10328E+04 0.15355E-06 0.00000E+00 0.33551E+01 0.22025E-01 0.53346E-02
  0.10335E+04 0.27435E-06 0.00000E+00 0.34501E+01 0.22481E-01 0.54639E-02
  0.10343E+04 0.34034E-06 0.00000E+00 0.35428E+01 0.22925E-01 0.55901E-02
  0.10350E+04 0.33566E-06 0.00000E+00 0.36290E+01 0.23341E-01 0.57079E-02
  0.10358E+04 0.25935E-06 0.00000E+00 0.37046E+01 0.23715E-01 0.58123E-02
  0.10365E+04 0.12588E-06 0.00000E+00 0.37663E+01 0.24035E-01 0.58994E-02
  0.10373E+04 0.00000E+00 0.00000E+00 0.38117E+01 0.24293E-01 0.59665E-02
  0.10381E+04 0.00000E+00 0.00000E+00 0.38398E+01 0.24486E-01 0.60121E-02
  0.10388E+04 0.00000E+00 0.00000E+00 0.38506E+01 0.24617E-01 0.60367E-02
  0.10396E+04 0.00000E+00 0.00000E+00 0.38458E+01 0.24691E-01 0.60423E-02
  0.10403E+04 0.00000E+00 0.00000E+00 0.38280E+01 0.24720E-01 0.60322E-02
  0.10411E+04 0.00000E+00 0.00000E+00 0.38012E+01 0.24719E-01 0.60114E-02
  0.10418E+04 0.00000E+00 0.00000E+00 0.37703E+01 0.24703E-01 0.59856E-02
  0.10426E+04 0.11724E-06 0.00000E+00 0.37401E+01 0.24693E-01 0.59609E-02
  0.10434E+04 0.28963E-06 0.00000E+00 0.37157E+01 0.24705E-01 0.59436E-02
  0.10441E+04 0.40993E-06 0.00000E+00 0.37017E+01 0.24756E-01 0.59389E-02
  0.10449E+04 0.45116E-06 0.00000E+00 0.37017E+01 0.24858E-01 0.59514E-02
  0.10457E+04 0.40264E-06 0.00000E+00 0.37182E+01 0.25020E-01 0.59842E-02
  0.10464E+04 0.27292E-06 0.00000E+00 0.37524E+01 0.25245E-01 0.60384E-02
  0.10472E+04 0.88520E-07 0.00000E+00 0.38038E+01 0.25530E-01 0.61137E-02
  0.10480E+04 0.00000E+00 0.00000E+00 0.38705E+01 0.25870E-01 0.62077E-02
  0.10487E+04 0.00000E+00 0.00000E+00 0.39494E+01 0.26252E-01 0.63165E-02
  0.10495E+04 0.00000E+00 0.00000E+00 0.40361E+01 0.26660E-01 0.64349E-02
  0.10503E+04 0.00000E+00 0.00000E+00 0.41252E+01 0.27080E-01 0.65569E-02
  0.10510E+04 0.00000E+00 0.00000E+00 0.42121E+01 0.27493E-01 0.66763E-02
  0.10518E+04 0.00000E+00 0.00000E+00 0.42914E+01 0.27882E-01 0.67875E-02
  0.10526E+04 0.11942E-06 0.00000E+00 0.43596E+01 0.28237E-01 0.68858E-02
  0.10534E+04 0.36209E-06 0.00000E+00 0.44134E+01 0.28547E-01 0.69678E-02
  0.10541E+04 0.56362E-06 0.00000E+00 0.44520E+01 0.28812E-01 0.70323E-02
  0.10549E+04 0.68302E-06 0.00000E+00 0.44757E+01 0.29032E-01 0.70798E-02
  0.10557E+04 0.69635E-06 0.00000E+00 0.44866E+01 0.29217E-01 0.71128E-02
  0.10565E+04 0.60237E-06 0.00000E+00 0.44885E+01 0.29377E-01 0.71357E-02
  0.10573E+04 0.42387E-06 0.00000E+00 0.44861E+01 0.29531E-01 0.71541E-02
  0.10580E+04 0.20368E-06 0.00000E+00 0.44847E+01 0.29694E-01 0.71740E-02
  0.10588E+04 0.00000E+00 0.00000E+00 0.44894E+01 0.29885E-01 0.72020E-02
  0.10596E+04 0.00000E+00 0.00000E+00 0.45054E+01 0.30118E-01 0.72435E-02
  0.10604E+04 0.00000E+00 0.00000E+00 0.45364E+01 0.30406E-01 0.73032E-02
  0.10612E+04 0.00000E+00 0.00000E+00 0.45848E+01 0.30756E-01 0.73837E-02
  0.10620E+04 0.16303E-06 0.00000E+00 0.46511E+01 0.31169E-01 0.74857E-02
  0.10628E+04 0.49501E-06 0.00000E+00 0.47340E+01 0.31640E-01 0.76080E-02
  0.10636E+04 0.87559E-06 0.00000E+00 0.48309E+01 0.32162E-01 0.77472E-02
  0.10644E+04 0.12444E-05 0.00000E+00 0.49374E+01 0.32720E-01 0.78987E-02
  0.10651E+04 0.15445E-05 0.00000E+00 0.50485E+01 0.33300E-01 0.80568E-02
  0.10659E+04 0.17348E-05 0.00000E+00 0.51593E+01 0.33888E-01 0.82158E-02
  0.10667E+04 0.18004E-05 0.00000E+00 0.52651E+01 0.34469E-01 0.83706E-02
  0.10675E+04 0.17574E-05 0.00000E+00 0.53628E+01 0.35033E-01 0.85174E-02
  0.10683E+04 0.16508E-05 0.00000E+00 0.54507E+01 0.35576E-01 0.86538E-02
  0.10691E+04 0.15470E-05 0.00000E+00 0.55286E+01 0.36094E-01 0.87796E-02
