697    18       17     8.0885889e-03 0.1597329
  0.82067E+03 0.15015E+01 0.11314E-01 0.64539E+01 0.10613E+01 0.28134E+00
  0.82114E+03 0.14324E+01 0.11235E-01 0.67831E+01 0.10792E+01 0.28050E+00
  0.82161E+03 0.14077E+01 0.11140E-01 0.68740E+01 0.10981E+01 0.27900E+00
  0.82209E+03 0.12383E+01 0.11092E-01 0.69570E+01 0.11166E+01 0.27963E+00
  0.82256E+03 0.14301E+01 0.11022E-01 0.71679E+01 0.11347E+01 0.27738E+00
  0.82303E+03 0.12958E+01 0.10891E-01 0.73265E+01 0.11497E+01 0.27607E+00
  0.82351E+03 0.12981E+01 0.10811E-01 0.73733E+01 0.11650E+01 0.27446E+00
  0.82398E+03 0.13421E+01 0.10772E-01 0.74970E+01 0.11793E+01 0.27416E+00
  0.82446E+03 0.13479E+01 0.10784E-01 0.76968E+01 0.11881E+01 0.27512E+00
  0.82494E+03 0.14234E+01 0.10823E-01 0.75652E+01 0.11879E+01 0.27584E+00
  0.82541E+03 0.13785E+01 0.10853E-01 0.73710E+01 0.11838E+01 0.27623E+00
  0.82589E+03 0.13472E+01 0.10842E-01 0.74481E+01 0.11817E+01 0.27618E+00
  0.82637E+03 0.14996E+01 0.10914E-01 0.74050E+01 0.11806E+01 0.27775E+00
  0.82685E+03 0.14815E+01 0.10995E-01 0.73505E+01 0.11764E+01 0.27889E+00
  0.82732E+03 0.13731E+01 0.10976E-01 0.72699E+01 0.11723E+01 0.27844E+00
  0.82780E+03 0.13291E+01 0.10976E-01 0.73972E+01 0.11676E+01 0.27831E+00
  0.82828E+03 0.14172E+01 0.11079E-01 0.73009E+01 0.11667E+01 0.28100E+00
  0.82876E+03 0.14994E+01 0.11147E-01 0.73203E+01 0.11663E+01 0.28143E+00
  0.82925E+03 0.12769E+01 0.11077E-01 0.71759E+01 0.11694E+01 0.28131E+00
  0.82973E+03 0.14617E+01 0.11018E-01 0.72821E+01 0.11755E+01 0.27829E+00
  0.83021E+03 0.12035E+01 0.11051E-01 0.73773E+01 0.11842E+01 0.28143E+00
  0.83069E+03 0.15036E+01 0.11147E-01 0.74344E+01 0.11950E+01 0.28208E+00
  0.83118E+03 0.13084E+01 0.11157E-01 0.73410E+01 0.12121E+01 0.28460E+00
  0.83166E+03 0.14478E+01 0.11151E-01 0.77601E+01 0.12277E+01 0.28433E+00
  0.83214E+03 0.14270E+01 0.11103E-01 0.77400E+01 0.12418E+01 0.28319E+00
  0.83263E+03 0.12580E+01 0.11028E-01 0.77654E+01 0.12538E+01 0.28290E+00
  0.83311E+03 0.13774E+01 0.10999E-01 0.79350E+01 0.12678E+01 0.28108E+00
  0.83360E+03 0.12557E+01 0.10994E-01 0.80107E+01 0.12853E+01 0.28256E+00
  0.83409E+03 0.12991E+01 0.11093E-01 0.81751E+01 0.13080E+01 0.28450E+00
  0.83457E+03 0.12696E+01 0.11292E-01 0.84335E+01 0.13337E+01 0.29135E+00
  0.83506E+03 0.14124E+01 0.11667E-01 0.85077E+01 0.13608E+01 0.30085E+00
  0.83555E+03 0.15895E+01 0.11979E-01 0.86475E+01 0.13885E+01 0.30821E+00
  0.83604E+03 0.14341E+01 0.12163E-01 0.90326E+01 0.14147E+01 0.31441E+00
  0.83653E+03 0.15724E+01 0.12317E-01 0.89553E+01 0.14381E+01 0.31708E+00
  0.83702E+03 0.15399E+01 0.12459E-01 0.92270E+01 0.14556E+01 0.32090E+00
  0.83751E+03 0.14962E+01 0.12793E-01 0.91592E+01 0.14763E+01 0.33006E+00
  0.83800E+03 0.17549E+01 0.13300E-01 0.95597E+01 0.14909E+01 0.34172E+00
  0.83849E+03 0.17413E+01 0.13785E-01 0.93231E+01 0.15079E+01 0.35466E+00
  0.83899E+03 0.19397E+01 0.14159E-01 0.96282E+01 0.15250E+01 0.36394E+00
  0.83948E+03 0.19323E+01 0.14334E-01 0.95721E+01 0.15492E+01 0.36837E+00
  0.83997E+03 0.17910E+01 0.14254E-01 0.99266E+01 0.15723E+01 0.36759E+00
  0.84047E+03 0.18251E+01 0.14064E-01 0.98857E+01 0.15972E+01 0.36318E+00
  0.84096E+03 0.16984E+01 0.13913E-01 0.10389E+02 0.16156E+01 0.36112E+00
  0.84146E+03 0.16949E+01 0.13782E-01 0.10180E+02 0.16366E+01 0.35819E+00
  0.84195E+03 0.16576E+01 0.13664E-01 0.10491E+02 0.16526E+01 0.35740E+00
  0.84245E+03 0.17962E+01 0.13637E-01 0.10342E+02 0.16681E+01 0.35717E+00
  0.84295E+03 0.17417E+01 0.13574E-01 0.10551E+02 0.16787E+01 0.35631E+00
  0.84344E+03 0.16512E+01 0.13401E-01 0.10518E+02 0.16921E+01 0.35281E+00
  0.84394E+03 0.16224E+01 0.13239E-01 0.10893E+02 0.17033E+01 0.34943E+00
  0.84444E+03 0.16026E+01 0.13218E-01 0.10624E+02 0.17176E+01 0.34979E+00
  0.84494E+03 0.16112E+01 0.13273E-01 0.10978E+02 0.17255E+01 0.35159E+00
  0.84544E+03 0.16144E+01 0.13300E-01 0.10926E+02 0.17346E+01 0.35310E+00
  0.84594E+03 0.17466E+01 0.13228E-01 0.10830E+02 0.17434E+01 0.35029E+00
  0.84644E+03 0.15522E+01 0.13135E-01 0.11042E+02 0.17526E+01 0.34945E+00
  0.84694E+03 0.15716E+01 0.13189E-01 0.10965E+02 0.17677E+01 0.35069E+00
  0.84745E+03 0.16572E+01 0.13378E-01 0.11247E+02 0.17833E+01 0.35637E+00
  0.84795E+03 0.18077E+01 0.13632E-01 0.11302E+02 0.17996E+01 0.36219E+00
  0.84845E+03 0.17767E+01 0.13780E-01 0.11268E+02 0.18161E+01 0.36653E+00
  0.84896E+03 0.16639E+01 0.13962E-01 0.11537E+02 0.18313E+01 0.37243E+00
  0.84946E+03 0.18772E+01 0.14134E-01 0.11483E+02 0.18493E+01 0.37601E+00
  0.84997E+03 0.19060E+01 0.14220E-01 0.11715E+02 0.18698E+01 0.37887E+00
  0.85047E+03 0.16334E+01 0.14194E-01 0.11772E+02 0.18943E+01 0.37996E+00
  0.85098E+03 0.18287E+01 0.14165E-01 0.11888E+02 0.19217E+01 0.37976E+00
  0.85149E+03 0.17845E+01 0.14063E-01 0.12295E+02 0.19479E+01 0.37772E+00
  0.85200E+03 0.17060E+01 0.13875E-01 0.12515E+02 0.19695E+01 0.37486E+00
  0.85250E+03 0.16958E+01 0.13817E-01 0.12307E+02 0.19873E+01 0.37389E+00
  0.85301E+03 0.17625E+01 0.13825E-01 0.12575E+02 0.20020E+01 0.37493E+00
  0.85352E+03 0.17761E+01 0.13838E-01 0.12647E+02 0.20193E+01 0.37528E+00
  0.85403E+03 0.16788E+01 0.13764E-01 0.12828E+02 0.20325E+01 0.37425E+00
  0.85454E+03 0.17474E+01 0.13708E-01 0.12862E+02 0.20388E+01 0.37218E+00
  0.85505E+03 0.16539E+01 0.13736E-01 0.12649E+02 0.20423E+01 0.37298E+00
  0.85557E+03 0.16818E+01 0.13846E-01 0.12778E+02 0.20489E+01 0.37525E+00
  0.85608E+03 0.16988E+01 0.13997E-01 0.12950E+02 0.20606E+01 0.37832E+00
  0.85659E+03 0.16460E+01 0.14185E-01 0.13158E+02 0.20693E+01 0.38254E+00
  0.85711E+03 0.16421E+01 0.14511E-01 0.12845E+02 0.20752E+01 0.38928E+00
  0.85762E+03 0.17621E+01 0.15037E-01 0.12997E+02 0.20825E+01 0.40173E+00
  0.85814E+03 0.19673E+01 0.15768E-01 0.13056E+02 0.20949E+01 0.41851E+00
  0.85865E+03 0.22392E+01 0.16501E-01 0.13211E+02 0.21067E+01 0.43511E+00
  0.85917E+03 0.20649E+01 0.17176E-01 0.13193E+02 0.21210E+01 0.45181E+00
  0.85969E+03 0.23660E+01 0.17776E-01 0.13278E+02 0.21410E+01 0.46471E+00
  0.86020E+03 0.23723E+01 0.18345E-01 0.13535E+02 0.21644E+01 0.47891E+00
  0.86072E+03 0.22927E+01 0.18859E-01 0.13779E+02 0.21863E+01 0.49233E+00
  0.86124E+03 0.26678E+01 0.19181E-01 0.13752E+02 0.22092E+01 0.49827E+00
  0.86176E+03 0.23787E+01 0.19242E-01 0.13857E+02 0.22317E+01 0.50182E+00
  0.86228E+03 0.25340E+01 0.19316E-01 0.14029E+02 0.22511E+01 0.50290E+00
  0.86280E+03 0.23265E+01 0.19475E-01 0.14103E+02 0.22689E+01 0.50841E+00
  0.86332E+03 0.25220E+01 0.19647E-01 0.14193E+02 0.22946E+01 0.51364E+00
  0.86384E+03 0.27275E+01 0.19776E-01 0.14640E+02 0.23316E+01 0.51822E+00
  0.86437E+03 0.25218E+01 0.19637E-01 0.14788E+02 0.23780E+01 0.51746E+00
  0.86489E+03 0.24963E+01 0.19188E-01 0.15338E+02 0.24202E+01 0.50803E+00
  0.86541E+03 0.23838E+01 0.18669E-01 0.15377E+02 0.24601E+01 0.49694E+00
  0.86594E+03 0.20538E+01 0.18309E-01 0.15909E+02 0.24875E+01 0.49099E+00
  0.86646E+03 0.22540E+01 0.18264E-01 0.15626E+02 0.25066E+01 0.49072E+00
  0.86699E+03 0.22587E+01 0.18377E-01 0.15764E+02 0.25182E+01 0.49458E+00
  0.86752E+03 0.23909E+01 0.18429E-01 0.15732E+02 0.25344E+01 0.49671E+00
  0.86804E+03 0.22845E+01 0.18544E-01 0.15945E+02 0.25528E+01 0.50263E+00
  0.86857E+03 0.26767E+01 0.18586E-01 0.16204E+02 0.25694E+01 0.50175E+00
  0.86910E+03 0.22998E+01 0.18334E-01 0.16084E+02 0.25857E+01 0.49726E+00
  0.86963E+03 0.20823E+01 0.18021E-01 0.16322E+02 0.25977E+01 0.49147E+00
  0.87016E+03 0.23076E+01 0.17918E-01 0.16340E+02 0.26095E+01 0.48869E+00
  0.87069E+03 0.21240E+01 0.17825E-01 0.16292E+02 0.26274E+01 0.48697E+00
  0.87122E+03 0.19867E+01 0.17711E-01 0.16715E+02 0.26484E+01 0.48753E+00
  0.87175E+03 0.24421E+01 0.17738E-01 0.16813E+02 0.26677E+01 0.48691E+00
  0.87228E+03 0.21612E+01 0.17743E-01 0.16790E+02 0.26800E+01 0.48928E+00
  0.87282E+03 0.22962E+01 0.17688E-01 0.16840E+02 0.26859E+01 0.48768E+00
  0.87335E+03 0.24084E+01 0.17583E-01 0.16588E+02 0.26966E+01 0.48515E+00
  0.87388E+03 0.20401E+01 0.17577E-01 0.16691E+02 0.27137E+01 0.48696E+00
  0.87442E+03 0.22229E+01 0.17598E-01 0.17130E+02 0.27339E+01 0.48713E+00
  0.87496E+03 0.21791E+01 0.17633E-01 0.17035E+02 0.27577E+01 0.49026E+00
  0.87549E+03 0.21550E+01 0.17732E-01 0.17170E+02 0.27841E+01 0.49361E+00
  0.87603E+03 0.22592E+01 0.17708E-01 0.17362E+02 0.28218E+01 0.49402E+00
  0.87657E+03 0.22253E+01 0.17581E-01 0.17885E+02 0.28667E+01 0.49326E+00
  0.87710E+03 0.22345E+01 0.17456E-01 0.18181E+02 0.29159E+01 0.49154E+00
  0.87764E+03 0.20989E+01 0.17331E-01 0.18543E+02 0.29661E+01 0.49052E+00
  0.87818E+03 0.21420E+01 0.17249E-01 0.18856E+02 0.30174E+01 0.48968E+00
  0.87872E+03 0.20316E+01 0.17274E-01 0.19169E+02 0.30713E+01 0.49209E+00
  0.87926E+03 0.19447E+01 0.17603E-01 0.19774E+02 0.31214E+01 0.50290E+00
  0.87981E+03 0.22986E+01 0.18256E-01 0.19733E+02 0.31697E+01 0.51846E+00
  0.88035E+03 0.23299E+01 0.18956E-01 0.20144E+02 0.32155E+01 0.53751E+00
  0.88089E+03 0.25128E+01 0.19675E-01 0.20429E+02 0.32658E+01 0.55559E+00
  0.88143E+03 0.26204E+01 0.20333E-01 0.21059E+02 0.33067E+01 0.57135E+00
  0.88198E+03 0.24665E+01 0.20818E-01 0.21012E+02 0.33368E+01 0.58453E+00
  0.88252E+03 0.27945E+01 0.21211E-01 0.21214E+02 0.33498E+01 0.59125E+00
  0.88307E+03 0.26005E+01 0.21497E-01 0.21037E+02 0.33504E+01 0.59753E+00
  0.88361E+03 0.25172E+01 0.21965E-01 0.20674E+02 0.33546E+01 0.60993E+00
  0.88416E+03 0.30298E+01 0.22721E-01 0.21195E+02 0.33653E+01 0.62657E+00
  0.88471E+03 0.31215E+01 0.23324E-01 0.21210E+02 0.33800E+01 0.64197E+00
  0.88526E+03 0.31958E+01 0.23599E-01 0.21030E+02 0.33974E+01 0.64799E+00
  0.88581E+03 0.29505E+01 0.23639E-01 0.21250E+02 0.34153E+01 0.64994E+00
  0.88636E+03 0.29805E+01 0.23623E-01 0.21405E+02 0.34289E+01 0.64981E+00
  0.88691E+03 0.29666E+01 0.23712E-01 0.21216E+02 0.34430E+01 0.65390E+00
  0.88746E+03 0.31225E+01 0.23762E-01 0.21467E+02 0.34722E+01 0.65626E+00
  0.88801E+03 0.29918E+01 0.23501E-01 0.21922E+02 0.35205E+01 0.65265E+00
  0.88856E+03 0.30497E+01 0.22983E-01 0.22126E+02 0.35871E+01 0.64262E+00
  0.88911E+03 0.28628E+01 0.22547E-01 0.22948E+02 0.36581E+01 0.63666E+00
  0.88967E+03 0.27763E+01 0.22371E-01 0.23300E+02 0.37291E+01 0.63751E+00
  0.89022E+03 0.28975E+01 0.22206E-01 0.23741E+02 0.37984E+01 0.63643E+00
  0.89078E+03 0.27826E+01 0.21708E-01 0.24362E+02 0.38627E+01 0.62758E+00
  0.89133E+03 0.24655E+01 0.21094E-01 0.24691E+02 0.39187E+01 0.61741E+00
  0.89189E+03 0.27116E+01 0.20776E-01 0.24604E+02 0.39740E+01 0.61116E+00
  0.89245E+03 0.24802E+01 0.20706E-01 0.25492E+02 0.40270E+01 0.61353E+00
  0.89300E+03 0.27186E+01 0.20769E-01 0.25590E+02 0.40813E+01 0.61707E+00
  0.89356E+03 0.25749E+01 0.21008E-01 0.26124E+02 0.41218E+01 0.62725E+00
  0.89412E+03 0.26838E+01 0.21349E-01 0.26057E+02 0.41555E+01 0.63624E+00
  0.89468E+03 0.26277E+01 0.21302E-01 0.26541E+02 0.41770E+01 0.63612E+00
  0.89524E+03 0.28194E+01 0.21027E-01 0.26083E+02 0.41997E+01 0.63079E+00
  0.89580E+03 0.28217E+01 0.20845E-01 0.26527E+02 0.42096E+01 0.62490E+00
  0.89637E+03 0.23718E+01 0.20815E-01 0.26519E+02 0.42122E+01 0.62831E+00
  0.89693E+03 0.26347E+01 0.21216E-01 0.25977E+02 0.42186E+01 0.63890E+00
  0.89749E+03 0.29378E+01 0.21550E-01 0.26200E+02 0.42340E+01 0.64683E+00
  0.89806E+03 0.28136E+01 0.21392E-01 0.26357E+02 0.42640E+01 0.64708E+00
  0.89862E+03 0.28074E+01 0.20945E-01 0.26525E+02 0.43053E+01 0.63841E+00
  0.89919E+03 0.26654E+01 0.19956E-01 0.27126E+02 0.43533E+01 0.61478E+00
  0.89975E+03 0.19403E+01 0.18539E-01 0.27495E+02 0.44055E+01 0.58542E+00
  0.90032E+03 0.19623E+01 0.17469E-01 0.27486E+02 0.44670E+01 0.56224E+00
  0.90089E+03 0.18731E+01 0.17060E-01 0.28007E+02 0.45470E+01 0.55782E+00
  0.90146E+03 0.21206E+01 0.17049E-01 0.29052E+02 0.46477E+01 0.56259E+00
  0.90203E+03 0.21099E+01 0.17080E-01 0.29997E+02 0.47529E+01 0.56863E+00
  0.90260E+03 0.21110E+01 0.16951E-01 0.30718E+02 0.48468E+01 0.56877E+00
  0.90317E+03 0.18139E+01 0.16724E-01 0.30900E+02 0.49364E+01 0.56616E+00
  0.90374E+03 0.19116E+01 0.16461E-01 0.31429E+02 0.50234E+01 0.55960E+00
  0.90431E+03 0.15806E+01 0.16464E-01 0.32145E+02 0.51009E+01 0.56328E+00
  0.90488E+03 0.18318E+01 0.17168E-01 0.32495E+02 0.51719E+01 0.58034E+00
  0.90546E+03 0.20991E+01 0.18349E-01 0.32815E+02 0.52376E+01 0.60627E+00
  0.90603E+03 0.17410E+01 0.19930E-01 0.33336E+02 0.52869E+01 0.64816E+00
  0.90661E+03 0.27613E+01 0.22321E-01 0.33545E+02 0.53108E+01 0.70064E+00
  0.90718E+03 0.30269E+01 0.25066E-01 0.33491E+02 0.53089E+01 0.76603E+00
  0.90776E+03 0.38393E+01 0.27624E-01 0.32892E+02 0.52993E+01 0.82199E+00
  0.90834E+03 0.40204E+01 0.29525E-01 0.32960E+02 0.52887E+01 0.86373E+00
  0.90891E+03 0.42026E+01 0.30850E-01 0.32531E+02 0.52992E+01 0.89258E+00
  0.90949E+03 0.42444E+01 0.32000E-01 0.33023E+02 0.53244E+01 0.91900E+00
