   697       0       17       0.     0.205335488
  0.78591E+03 0.00000E+00 0.00000E+00 0.28357E+02 0.57150E+01 0.00000E+00
  0.78634E+03 0.00000E+00 0.00000E+00 0.27995E+02 0.57915E+01 0.00000E+00
  0.78678E+03 0.00000E+00 0.00000E+00 0.29192E+02 0.58379E+01 0.00000E+00
  0.78721E+03 0.00000E+00 0.00000E+00 0.28825E+02 0.58957E+01 0.00000E+00
  0.78765E+03 0.00000E+00 0.00000E+00 0.29306E+02 0.59285E+01 0.00000E+00
  0.78808E+03 0.00000E+00 0.00000E+00 0.28612E+02 0.59684E+01 0.00000E+00
  0.78852E+03 0.00000E+00 0.00000E+00 0.29094E+02 0.59885E+01 0.00000E+00
  0.78895E+03 0.00000E+00 0.00000E+00 0.29664E+02 0.60034E+01 0.00000E+00
  0.78939E+03 0.00000E+00 0.00000E+00 0.29198E+02 0.60360E+01 0.00000E+00
  0.78982E+03 0.00000E+00 0.00000E+00 0.29186E+02 0.60538E+01 0.00000E+00
  0.79026E+03 0.00000E+00 0.00000E+00 0.29678E+02 0.60558E+01 0.00000E+00
  0.79070E+03 0.00000E+00 0.00000E+00 0.29328E+02 0.60753E+01 0.00000E+00
  0.79114E+03 0.00000E+00 0.00000E+00 0.28813E+02 0.61057E+01 0.00000E+00
  0.79157E+03 0.00000E+00 0.00000E+00 0.29776E+02 0.61154E+01 0.00000E+00
  0.79201E+03 0.00000E+00 0.00000E+00 0.29576E+02 0.61537E+01 0.00000E+00
  0.79245E+03 0.00000E+00 0.00000E+00 0.29951E+02 0.61992E+01 0.00000E+00
  0.79289E+03 0.00000E+00 0.00000E+00 0.30305E+02 0.62430E+01 0.00000E+00
  0.79333E+03 0.00000E+00 0.00000E+00 0.29736E+02 0.63197E+01 0.00000E+00
  0.79377E+03 0.00000E+00 0.00000E+00 0.30970E+02 0.63768E+01 0.00000E+00
  0.79421E+03 0.00000E+00 0.00000E+00 0.31310E+02 0.64588E+01 0.00000E+00
  0.79466E+03 0.00000E+00 0.00000E+00 0.31684E+02 0.65583E+01 0.00000E+00
  0.79510E+03 0.00000E+00 0.00000E+00 0.32209E+02 0.66531E+01 0.00000E+00
  0.79554E+03 0.00000E+00 0.00000E+00 0.33465E+02 0.67422E+01 0.00000E+00
  0.79598E+03 0.00000E+00 0.00000E+00 0.33130E+02 0.68505E+01 0.00000E+00
